geotype,geoid,geoname,varname,x2021,State,Cluster
county,46039,"Deuel County, SD",co2limits,57.73,SD,2.0
county,46041,"Dewey County, SD",co2limits,69.82,SD,2.0
county,46043,"Douglas County, SD",co2limits,53.77,SD,2.0
county,46045,"Edmunds County, SD",co2limits,57.28,SD,2.0
county,46047,"Fall River County, SD",co2limits,59.94,SD,2.0
county,46049,"Faulk County, SD",co2limits,57.75,SD,2.0
county,46051,"Grant County, SD",co2limits,45.67,SD,2.0
county,46053,"Gregory County, SD",co2limits,53.92,SD,2.0
county,46055,"Haakon County, SD",co2limits,50.36,SD,2.0
county,46057,"Hamlin County, SD",co2limits,56.68,SD,2.0
county,46059,"Hand County, SD",co2limits,55.55,SD,2.0
county,46061,"Hanson County, SD",co2limits,54.36,SD,2.0
county,46063,"Harding County, SD",co2limits,54.33,SD,2.0
county,46065,"Hughes County, SD",co2limits,58.51,SD,2.0
county,46067,"Hutchinson County, SD",co2limits,55.89,SD,2.0
county,46069,"Hyde County, SD",co2limits,57.81,SD,2.0
county,46071,"Jackson County, SD",co2limits,63.54,SD,2.0
county,46073,"Jerauld County, SD",co2limits,60.08,SD,2.0
county,46075,"Jones County, SD",co2limits,54.5,SD,2.0
county,46077,"Kingsbury County, SD",co2limits,58.99,SD,2.0
county,46079,"Lake County, SD",co2limits,60.3,SD,2.0
county,46081,"Lawrence County, SD",co2limits,61.23,SD,2.0
county,46083,"Lincoln County, SD",co2limits,58.76,SD,2.0
county,46085,"Lyman County, SD",co2limits,61.35,SD,2.0
county,46087,"McCook County, SD",co2limits,58.26,SD,2.0
county,46089,"McPherson County, SD",co2limits,56.49,SD,2.0
county,46091,"Marshall County, SD",co2limits,61.88,SD,2.0
county,46093,"Meade County, SD",co2limits,56.79,SD,2.0
county,46095,"Mellette County, SD",co2limits,63.49,SD,2.0
county,46097,"Miner County, SD",co2limits,59.39,SD,2.0
county,46099,"Minnehaha County, SD",co2limits,64.73,SD,2.0
county,46101,"Moody County, SD",co2limits,61.98,SD,2.0
county,46102,"Oglala Lakota County, SD",co2limits,75.64,SD,2.0
county,46103,"Pennington County, SD",co2limits,57.22,SD,2.0
county,46105,"Perkins County, SD",co2limits,57.7,SD,2.0
county,46107,"Potter County, SD",co2limits,53.33,SD,2.0
county,46109,"Roberts County, SD",co2limits,63.19,SD,2.0
county,46111,"Sanborn County, SD",co2limits,57.06,SD,2.0
county,46113,"Oglala Lakota County, SD",co2limits,,SD,2.0
county,46113,"Shannon County, SD",co2limits,,SD,2.0
county,46115,"Spink County, SD",co2limits,59.44,SD,2.0
county,46117,"Stanley County, SD",co2limits,56.25,SD,2.0
county,46119,"Sully County, SD",co2limits,55.07,SD,2.0
county,46121,"Todd County, SD",co2limits,69.64,SD,2.0
county,46123,"Tripp County, SD",co2limits,52.24,SD,2.0
county,46125,"Turner County, SD",co2limits,57.49,SD,2.0
county,46127,"Union County, SD",co2limits,56.9,SD,2.0
county,46129,"Walworth County, SD",co2limits,55.38,SD,2.0
county,46135,"Yankton County, SD",co2limits,59.58,SD,2.0
county,46137,"Ziebach County, SD",co2limits,72.7,SD,2.0
county,53001,"Adams County, WA",co2limits,63.05,WA,2.0
county,53003,"Asotin County, WA",co2limits,60.1,WA,2.0
county,53005,"Benton County, WA",co2limits,61.23,WA,2.0
county,53007,"Chelan County, WA",co2limits,65.16,WA,2.0
county,53009,"Clallam County, WA",co2limits,67.13,WA,2.0
county,53011,"Clark County, WA",co2limits,67.83,WA,2.0
county,53013,"Columbia County, WA",co2limits,61.55,WA,2.0
county,53015,"Cowlitz County, WA",co2limits,61.03,WA,2.0
county,53017,"Douglas County, WA",co2limits,62.27,WA,2.0
county,53019,"Ferry County, WA",co2limits,65.7,WA,2.0
county,53021,"Franklin County, WA",co2limits,63.61,WA,2.0
county,53023,"Garfield County, WA",co2limits,56.58,WA,2.0
county,53025,"Grant County, WA",co2limits,62.75,WA,2.0
county,53027,"Grays Harbor County, WA",co2limits,64.5,WA,2.0
county,53029,"Island County, WA",co2limits,71.04,WA,2.0
county,53031,"Jefferson County, WA",co2limits,72.47,WA,2.0
county,53033,"King County, WA",co2limits,75.75,WA,2.0
county,53035,"Kitsap County, WA",co2limits,69.74,WA,2.0
county,53037,"Kittitas County, WA",co2limits,65.18,WA,2.0
county,53039,"Klickitat County, WA",co2limits,65.49,WA,2.0
county,53041,"Lewis County, WA",co2limits,53.7,WA,2.0
